,link,Name,Subtitle,Price,Sale price
138,https://www.nike.com/t/v2k-run-shoes-ZKMJLX/HF5050-361,Nike V2K Run,Shoes,$120,$102.97
139,https://www.nike.com/t/cleveland-cavaliers-heritage86-nba-cap-9D7wzg/C11127C181-CLE,Cleveland Cavaliers Heritage86,Nike NBA Cap,$28,$23.97
140,https://www.nike.com/t/oklahoma-state-heritage86trucker-hat-pv0XN7/C11218C307-OKS,Oklahoma State Heritage86,Nike College Trucker Hat,$30,$23.97
141,https://www.nike.com/t/dri-fit-icon-big-kids-boys-graphic-training-top-extended-size-MV0J8B/DX5387-657,Nike Dri-FIT Icon,Big Kids' (Boys') Graphic Training Top (Extended Size),$30,$20.97
142,https://www.nike.com/t/standard-issue-mens-dri-fit-reversible-6-baseball-shorts-2cDzhF/FN2763-100,Nike Standard Issue,"Men's Dri-FIT Reversible 6"" Baseball Shorts",$70,$56.97
143,https://www.nike.com/t/solo-swoosh-mens-1-4-zip-top-9MDrWh/DQ5209-361,Nike Solo Swoosh,Men's 1/4-Zip Top,$105,$73.97
144,https://www.nike.com/t/swoosh-high-support-womens-non-padded-adjustable-sports-bra-MN12fs/DX6815-010,Nike Swoosh High Support,Women's Non-Padded Adjustable Sports Bra,$60,$54.97
145,https://www.nike.com/t/fast-womens-mid-rise-7-8-printed-leggings-with-pockets-Kr9dCz/FB4579-328,Nike Fast,Women's Mid-Rise 7/8 Printed Leggings with Pockets,$75,$63.97
146,https://www.nike.com/t/miami-heat-club-fleece-city-edition-mens-nba-pullover-hoodie-JGP7vz/FB4833-010,Miami Heat Club Fleece City Edition,Men's Nike NBA Pullover Hoodie,$75,$59.97
147,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-WC9QKl/FB8002-440,Nike Sportswear Tech Fleece,Men's Joggers,$125,$106.97
148,https://www.nike.com/t/sb-react-leo-skate-shoes-p5xlWk/DX4361-200,Nike SB React Leo,Skate Shoes,$95,$56.97
149,https://www.nike.com/t/sportswear-futura-365-womens-mini-backpack-6l-w3g8g1/CW9301-019,Nike Sportswear Futura 365,Women's Mini Backpack (6L),$37,$27.97
150,https://www.nike.com/t/aps-mens-dri-fit-woven-versatile-pants-G4bw8K/FN3014-437,Nike A.P.S.,Men's Dri-FIT Woven Versatile Pants,$120,$84.97
151,https://www.nike.com/t/prep-in-your-step-toddler-graphic-t-shirt-4l5VTR/26L995-P63,Nike Prep in Your Step,Toddler Graphic T-Shirt,$25,$21.97
152,https://www.nike.com/t/womens-bikini-swim-bottom-2RTPxq/NESSD282-418,Nike,Women's Bikini Swim Bottom,$46,$32.97
153,https://www.nike.com/t/one-womens-high-waisted-full-length-leggings-9jrxz4/FN3226-512,Nike One,Women's High-Waisted Full-Length Leggings,$60,$51.97
154,https://www.nike.com/t/texas-heritage86trucker-hat-L02C1b/C11218C307-TEX,Texas Heritage86,Nike College Trucker Hat,$30,$23.97
155,https://www.nike.com/t/baseball-big-kids-boys-pullover-hoodie-QfJ0Fl/B31048P387-NVY,Nike Baseball,Big Kids' (Boys') Pullover Hoodie,$50,$42.97
156,https://www.nike.com/t/sportswear-club-fleece-big-kids-french-terry-shorts-extended-size-9LLFmR/FD2998-010,Nike Sportswear Club Fleece,Big Kids' French Terry Shorts (Extended Size),$40,$33.97
157,https://www.nike.com/t/essential-womens-high-waisted-swim-bottoms-rcBvxh/NESSA215-557,Nike Essential,Women's High-Waisted Swim Bottoms,$56,$44.97
158,https://www.nike.com/t/los-angeles-lakers-2023-24-city-edition-mens-nba-max90-long-sleeve-t-shirt-4mxFjk/FN1111-063,Los Angeles Lakers 2023/24 City Edition,Men's Nike NBA Max90 Long-Sleeve T-Shirt,$50,$41.97
159,https://www.nike.com/t/adventure-doodle-baby-3-piece-bodysuit-box-set-8qLnMC/NN1076-E2E,Nike Adventure Doodle,Baby 3-Piece Bodysuit Box Set,$26,$22.97
160,https://www.nike.com/t/ultrafly-womens-trail-racing-shoes-tCnn3F/DZ0489-100,Nike Ultrafly,Women's Trail Racing Shoes,$260,$212.97
